platform	score	source
sega-classics	3	Logo Builders/Builders/Sega Classics/From Japan Sega Site 2020.svg
atari5200	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atari5200/logo.svg
game-gear	3	Logo Builders/Builders/Sega Game Gear/Sega Game Gear/Gamegear_us_logo OLD.svg
atari-2600	3	Logo Builders/Builders/Atari 2600+5200+7800/Atari_Official_2012_Logo.svg
xbox-360	3	Logo Builders/Builders/Microsoft Xbox 360/E Version/Xbox_360-Logo.wine.svg
mame-advmame	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/mame-advmame/logo.svg
pc	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/pc/logo.svg
handhelds	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Handhelds/Nintendo Game & Watch 3-07-05.svg
xbox	3	Logo Builders/z.old/emulation station logos/es-theme-tronkyfran-master/xbox/art/xbox.svg
genesis	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/megadrive/logo.svg
limelight	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/limelight/logo.svg
vic20	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/vic20/logo.svg
3do	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/3do/controller.svg
atari2600	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atari2600/logo.svg
3ds	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Handhelds/Nintendo 3DS eShop-02.svg
atarilynx	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atarilynx/logo.svg
apple-pippin	3	Logo Builders/Builders/Apple Pippin/PIPPIN.svg
atari800	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atari800/logo.svg
fba	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/fba/logo.svg
ports	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/ports/logo.svg
windows-3-x	3	Logo Builders/Builders/Windows 3.X/Microsoft_Windows_3.1x_logo_with_wordmark.svg
odyssey2	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/odyssey2/logo.svg
gbc	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/gbc/logo.svg
oric	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/oric/logo.svg
gba	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/gba/logo.svg
steam	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/steam/logo.svg
mame-mame4all	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/mame-mame4all/logo.svg
images	3	Logo Builders/z.old/emulation station logos/es-theme-art-book-master/_inc/images/help-random.svg
nes	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/nes/logo.svg
dragon32	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/dragon32/logo.svg
nintendo-eshop	3	Logo Builders/Builders/Nintendo eShop/Nintendo eShop _ Nintendo-17.svg
love	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/love/logo.svg
acorn-electron	3	Logo Builders/Builders/Acorn Electron/Acorn_computers_logo_rendered_with_text.svg
saturn	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/saturn/controller.svg
pce-cd	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/pce-cd/logo.svg
